--- winxp.dat	2019-05-07 19:32:18.980564900 +0900
-kernel32.dll	CreateProcessInternalWSecure
+kernel32.dll	CreateRemoteThreadEx
+kernel32.dll	CreateSemaphoreExA
+kernel32.dll	CreateSemaphoreExW
+kernel32.dll	CreateSymbolicLinkA
+kernel32.dll	CreateSymbolicLinkTransactedA
+kernel32.dll	CreateSymbolicLinkTransactedW
+kernel32.dll	CreateSymbolicLinkW
+kernel32.dll	CreateThreadpool
+kernel32.dll	CreateThreadpoolCleanupGroup
+kernel32.dll	CreateThreadpoolIo
+kernel32.dll	CreateThreadpoolTimer
+kernel32.dll	CreateThreadpoolWait
+kernel32.dll	CreateThreadpoolWork
-kernel32.dll	CreateVirtualBuffer
+kernel32.dll	CreateWaitableTimerExA
+kernel32.dll	CreateWaitableTimerExW
+kernel32.dll	CtrlRoutine
+kernel32.dll	DeactivateActCtxWorker
+kernel32.dll	DeleteBoundaryDescriptor
+kernel32.dll	DeleteFileTransactedA
+kernel32.dll	DeleteFileTransactedW
+kernel32.dll	DeleteProcThreadAttributeList
+kernel32.dll	DeleteSynchronizationBarrier
+kernel32.dll	DisableThreadProfiling
+kernel32.dll	DisassociateCurrentThreadFromCallback
+kernel32.dll	DiscardVirtualMemory
+kernel32.dll	DnsHostnameToComputerNameExW
+kernel32.dll	DuplicateEncryptionInfoFileExt
+kernel32.dll	EnableThreadProfiling
+kernel32.dll	EnterSynchronizationBarrier
+kernel32.dll	EnumCalendarInfoExEx
+kernel32.dll	EnumDateFormatsExEx
+kernel32.dll	EnumResourceLanguagesExA
+kernel32.dll	EnumResourceLanguagesExW
+kernel32.dll	EnumResourceNamesExA
+kernel32.dll	EnumResourceNamesExW
+kernel32.dll	EnumResourceTypesExA
+kernel32.dll	EnumResourceTypesExW
+kernel32.dll	EnumSystemFirmwareTables
+kernel32.dll	EnumSystemGeoNames
+kernel32.dll	EnumSystemLocalesEx
+kernel32.dll	EnumTimeFormatsEx
-kernel32.dll	ExtendVirtualBuffer
+kernel32.dll	FindActCtxSectionGuidWorker
+kernel32.dll	FindActCtxSectionStringWWorker
+kernel32.dll	FindFirstFileNameTransactedW
+kernel32.dll	FindFirstFileNameW
+kernel32.dll	FindFirstFileTransactedA
+kernel32.dll	FindFirstFileTransactedW
+kernel32.dll	FindFirstStreamTransactedW
+kernel32.dll	FindFirstStreamW
+kernel32.dll	FindNLSString
+kernel32.dll	FindNLSStringEx
+kernel32.dll	FindNextFileNameW
+kernel32.dll	FindNextStreamW
+kernel32.dll	FindPackagesByPackageFamily
+kernel32.dll	FindStringOrdinal
+kernel32.dll	FlsAlloc
+kernel32.dll	FlsFree
+kernel32.dll	FlsGetValue
+kernel32.dll	FlsSetValue
+kernel32.dll	FlushProcessWriteBuffers
+kernel32.dll	FormatApplicationUserModelId
+kernel32.dll	FreeLibraryWhenCallbackReturns
+kernel32.dll	FreeMemoryJobObject
-kernel32.dll	FreeVirtualBuffer
+kernel32.dll	GetActiveProcessorCount
+kernel32.dll	GetActiveProcessorGroupCount
+kernel32.dll	GetAppContainerAce
+kernel32.dll	GetAppContainerNamedObjectPath
+kernel32.dll	GetApplicationRecoveryCallback
+kernel32.dll	GetApplicationRecoveryCallbackWorker
+kernel32.dll	GetApplicationRestartSettings
+kernel32.dll	GetApplicationRestartSettingsWorker
+kernel32.dll	GetApplicationUserModelId
-kernel32.dll	GetCPFileNameFromRegistry
+kernel32.dll	GetCachedSigningLevel
+kernel32.dll	GetCalendarDateFormat
+kernel32.dll	GetCalendarDateFormatEx
+kernel32.dll	GetCalendarDaysInMonth
+kernel32.dll	GetCalendarDifferenceInDays
+kernel32.dll	GetCalendarInfoEx
+kernel32.dll	GetCalendarMonthsInYear
+kernel32.dll	GetCalendarSupportedDateRange
+kernel32.dll	GetCalendarWeekNumber
+kernel32.dll	GetCompressedFileSizeTransactedA
+kernel32.dll	GetCompressedFileSizeTransactedW
+kernel32.dll	GetConsoleHistoryInfo
+kernel32.dll	GetConsoleOriginalTitleA
+kernel32.dll	GetConsoleOriginalTitleW
+kernel32.dll	GetConsoleScreenBufferInfoEx
+kernel32.dll	GetCurrencyFormatEx
+kernel32.dll	GetCurrentActCtxWorker
+kernel32.dll	GetCurrentApplicationUserModelId
+kernel32.dll	GetCurrentConsoleFontEx
+kernel32.dll	GetCurrentPackageFamilyName
+kernel32.dll	GetCurrentPackageFullName
+kernel32.dll	GetCurrentPackageId
+kernel32.dll	GetCurrentPackageInfo
+kernel32.dll	GetCurrentPackagePath
+kernel32.dll	GetCurrentProcessorNumber
+kernel32.dll	GetCurrentProcessorNumberEx
+kernel32.dll	GetCurrentThreadStackLimits
+kernel32.dll	GetDateFormatAWorker
+kernel32.dll	GetDateFormatEx
+kernel32.dll	GetDateFormatWWorker
-kernel32.dll	GetDefaultSortkeySize
+kernel32.dll	GetDurationFormat
+kernel32.dll	GetDurationFormatEx
+kernel32.dll	GetDynamicTimeZoneInformation
+kernel32.dll	GetEnabledXStateFeatures
+kernel32.dll	GetEncryptedFileVersionExt
+kernel32.dll	GetEraNameCountedString
+kernel32.dll	GetErrorMode
+kernel32.dll	GetFileAttributesTransactedA
+kernel32.dll	GetFileAttributesTransactedW
+kernel32.dll	GetFileBandwidthReservation
+kernel32.dll	GetFileInformationByHandleEx
+kernel32.dll	GetFileMUIInfo
+kernel32.dll	GetFileMUIPath
+kernel32.dll	GetFinalPathNameByHandleA
+kernel32.dll	GetFinalPathNameByHandleW
+kernel32.dll	GetFirmwareEnvironmentVariableExA
+kernel32.dll	GetFirmwareEnvironmentVariableExW
+kernel32.dll	GetFirmwareType
+kernel32.dll	GetFullPathNameTransactedA
+kernel32.dll	GetFullPathNameTransactedW
+kernel32.dll	GetGeoInfoEx
+kernel32.dll	GetLargePageMinimum
-kernel32.dll	GetLinguistLangSize
+kernel32.dll	GetLocaleInfoEx
+kernel32.dll	GetLogicalProcessorInformationEx
+kernel32.dll	GetLongPathNameTransactedA
+kernel32.dll	GetLongPathNameTransactedW
+kernel32.dll	GetMaximumProcessorCount
+kernel32.dll	GetMaximumProcessorGroupCount
+kernel32.dll	GetMemoryErrorHandlingCapabilities
+kernel32.dll	GetNLSVersion
+kernel32.dll	GetNLSVersionEx
+kernel32.dll	GetNamedPipeAttribute
+kernel32.dll	GetNamedPipeClientComputerNameA
+kernel32.dll	GetNamedPipeClientComputerNameW
+kernel32.dll	GetNamedPipeClientProcessId
+kernel32.dll	GetNamedPipeClientSessionId
+kernel32.dll	GetNamedPipeServerProcessId
